img_path,mask_path,img_w,img_h,n_boxes
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00000.jpg,D:\Claude\datasets\ppe_masks\00000_mask.png,1066,1689,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00001.jpg,D:\Claude\datasets\ppe_masks\00001_mask.png,723,751,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00002.jpg,D:\Claude\datasets\ppe_masks\00002_mask.png,447,559,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00003.jpg,D:\Claude\datasets\ppe_masks\00003_mask.png,650,434,9
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00004.jpg,D:\Claude\datasets\ppe_masks\00004_mask.png,800,533,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00005.jpg,D:\Claude\datasets\ppe_masks\00005_mask.png,387,471,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00006.jpg,D:\Claude\datasets\ppe_masks\00006_mask.png,240,240,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00007.jpg,D:\Claude\datasets\ppe_masks\00007_mask.png,600,600,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00008.jpg,D:\Claude\datasets\ppe_masks\00008_mask.png,160,160,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00009.jpg,D:\Claude\datasets\ppe_masks\00009_mask.png,720,432,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00010.jpg,D:\Claude\datasets\ppe_masks\00010_mask.png,400,400,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00011.jpg,D:\Claude\datasets\ppe_masks\00011_mask.png,1300,893,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00012.jpg,D:\Claude\datasets\ppe_masks\00012_mask.png,420,540,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00013.jpg,D:\Claude\datasets\ppe_masks\00013_mask.png,4224,3168,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00014.jpg,D:\Claude\datasets\ppe_masks\00014_mask.png,500,334,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00015.jpg,D:\Claude\datasets\ppe_masks\00015_mask.png,1300,1064,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00016.jpg,D:\Claude\datasets\ppe_masks\00016_mask.png,606,945,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00017.jpg,D:\Claude\datasets\ppe_masks\00017_mask.png,1200,809,36
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00018.jpg,D:\Claude\datasets\ppe_masks\00018_mask.png,600,600,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00019.jpg,D:\Claude\datasets\ppe_masks\00019_mask.png,300,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00020.jpg,D:\Claude\datasets\ppe_masks\00020_mask.png,747,740,7
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00021.jpg,D:\Claude\datasets\ppe_masks\00021_mask.png,880,900,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00022.jpg,D:\Claude\datasets\ppe_masks\00022_mask.png,450,320,2
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00023.jpg,D:\Claude\datasets\ppe_masks\00023_mask.png,244,300,1
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00024.jpg,D:\Claude\datasets\ppe_masks\00024_mask.png,800,800,5
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00025.jpg,D:\Claude\datasets\ppe_masks\00025_mask.png,570,733,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00026.jpg,D:\Claude\datasets\ppe_masks\00026_mask.png,960,540,3
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00027.jpg,D:\Claude\datasets\ppe_masks\00027_mask.png,1000,1000,4
D:\Claude\datasets\helmet-safety-vest-detection-master/train-images-data\00028.jpg,D:\Claude\datasets\ppe_masks\00028_mask.png,236,269,1
