Model,Task,Accuracy,Macro_F1,Weighted_F1,Macro_AUC,F1_full_ppe,F1_helmet,F1_no_ppe,F1_partial_ppe,F1_safety_vest,AUC
SVM,multi,0.7631,0.7446,0.7647,0.9427,0.6082,0.8794,0.7342,0.6032,0.8983,
RF,multi,0.73,0.7078,0.7272,0.923,0.5946,0.8346,0.7088,0.5664,0.8348,
ExtraTrees,multi,0.7176,0.6929,0.7133,0.9238,0.5581,0.8209,0.6928,0.5478,0.8448,
HistGBM,multi,0.7672,0.7452,0.7657,0.9432,0.6506,0.8672,0.7689,0.559,0.8803,
Ensemble,multi,0.7948,0.7771,0.7939,0.9497,0.6923,0.8834,0.7876,0.6417,0.8803,
CNN,multi,0.8733,0.8564,0.8722,0.9776,0.7722,0.9146,0.906,0.7603,0.9289,
SVM,binary,0.8444,0.8003,0.8424,,,,,,,0.8915
RF,binary,0.814,0.7185,0.7921,,,,,,,0.8756
ExtraTrees,binary,0.7837,0.6219,0.733,,,,,,,0.8748
HistGBM,binary,0.832,0.7895,0.832,,,,,,,0.9083
